"INSTNM","CITY","STABBR","INSTURL","NPCURL","lat","lng","CONTROL"
"Prescott College","Prescott","AZ","www.prescott.edu","www.prescott.edu/apply/true-cost-calculator/index.html",34.5445,-112.476509,2
"Refrigeration School Inc","Phoenix","AZ","refrigerationschool.com","www.refrigerationschool.com/financial-aid/tuition-calculator/",33.448692,-111.989357,3
"Rio Salado College","Tempe","AZ","www.rio.maricopa.edu","www.riosalado.edu/financial_aid/Pages/Calculators.aspx",33.413138,-111.975201,1
"Roberto-Venn School of Luthiery","Phoenix","AZ","www.roberto-venn.com","www.roberto-venn.com/NetPrice/npcalc.htm",33.45489,-112.086161,3
"Hair Academy of Safford","Safford","AZ","hairacademysafford.com","hairacademysafford.com",32.835302,-109.727696,3
"Scottsdale Community College","Scottsdale","AZ","www.scottsdalecc.edu","www.scottsdalecc.edu/admissions/cashiers-office/net-price-calculator",33.509489,-111.887298,1
"South Mountain Community College","Phoenix","AZ","www.southmountaincc.edu","students.southmountaincc.edu/Services/FinancialAid/",33.381001,-112.057515,1
"Arizona Christian University","Phoenix","AZ","www.arizonachristian.edu","arizonachristian.edu/admissions/financial-aid/calculator",33.595117,-112.026211,2
"Tucson College","Tucson","AZ","www.tucsoncollege.edu","https://tucsoncollege.studentaidcalculator.com/survey.aspx",32.22205,-110.883181,3
"Universal Technical Institute of Arizona Inc","Avondale","AZ","www.uti.edu","www.uti.edu/student-services/financial-aid/npc",33.453533,-112.289693,3
"Western International University","Tempe","AZ","www.west.edu","www.west.edu/calc/npcalc.htm",33.403625,-111.964182,3
"Empire Beauty School-NW Phoenix","Phoenix","AZ","www.empire.edu","www.empire.edu/net-price-calculator",33.538093,-112.118168,3
"Yavapai College","Prescott","AZ","www.YC.EDU","www.yc.edu/webtools/forms/netpricecalc/",34.547512,-112.454156,1
"University of Arkansas at Little Rock","Little Rock","AR","ualr.edu/www/","https://npc.collegeboard.org/student/app/ualr",34.726644,-92.341835,1
"University of Arkansas for Medical Sciences","Little Rock","AR","www.uams.edu","NULL",34.749718,-92.320945,1
"ABC Beauty College Inc","Arkadelphia","AR","www.abc-beautycollege.com","www.abc-beautycollege.com",34.12018,-93.080831,3
"Arkansas Baptist College","Little Rock","AR","www.arkansasbaptist.edu","arkansasbaptist.edu/New_NetPriceCalculator/npcalc.htm",34.734751,-92.290555,2
"Arkansas Beauty School-Little Rock","Little Rock","AR","arkbeautyschool.com","arkbeautyschool.com",34.669071,-92.334814,3
"Arkansas Beauty College","Russellville","AR","www.arkansasbeautycollegersvlar.com/","arkansasbeautycollegersvlar.com",35.278622,-93.13522,3
"Lyon College","Batesville","AR","www.lyon.edu","https://my.lyon.edu/ics/default.aspx",35.778934,-91.628115,2
"Arkansas College of Barbering and Hair Design","North Little Rock","AR","www.arkansascollegeofbarbering.com","www.arkansascollegeofbarbering.com",34.753621,-92.266336,3
"Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","www.arthursbeautycollege.com","www.arthursbeautycollege.com/fort-smith.html",35.379955,-94.410967,3
"University of Arkansas","Fayetteville","AR","www.uark.edu","finaid.uark.edu/331.php",36.06153,-94.178214,1
"University of Arkansas at Pine Bluff","Pine Bluff","AR","www.uapb.edu","www.uapb.edu/admissions/net_price_calculator.aspx",34.242192,-92.021263,1
"Arkansas State University-Beebe","Beebe","AR","www.asub.edu","www.asub.edu/assets/npcalc/npcalc.htm",35.074512,-91.896165,1
"Arkansas State University-Main Campus","Jonesboro","AR","www2.astate.edu","www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot",35.842779,-90.680478,1
"Arkansas Tech University","Russellville","AR","www.atu.edu","www.atu.edu/finaid/npcalc.htm",35.295227,-93.13233,1
"University of Arkansas at Monticello","Monticello","AR","www.uamont.edu/","uam-web2.uamont.edu/netprice/npcalc.htm",33.589788,-91.812971,1
"Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","arthursbeautycollege.com","www.arthursbeautycollege.com/jacksonville.html",34.8918,-92.102284,3
"Baptist Health College-Little Rock","Little Rock","AR","https://www.bhclr.edu","https://www.bhclr.edu/student-services/accounts/netprice/npcalc.htm",34.713115,-92.40692,2
"Black River Technical College","Pocahontas","AR","www.blackrivertech.edu","finaid.blackrivertech.edu",36.239793,-90.951033,1
"University of Central Arkansas","Conway","AR","www.uca.edu","uca.edu/financialaid/financial-aid-net-price-calculator/",35.078196,-92.45931,1
"Central Baptist College","Conway","AR","www.cbc.edu","www.cbc.edu/financial_aid/net_price_calculator.aspx",35.084574,-92.444102,2
